fecha	doctor	gasto	impresiones	alcance	clics	cpm	ctr	cpc	cpa_estimado	conversaciones	costo_conversacion
6/20/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/20/2026	Dr. Moreno	210.8	7230	6580	212	29.16	2.93	0.99	12400		
6/21/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/21/2026	Dr. Moreno	158.84	7138	6580	197	22.25	2.76	0.81	9930		
6/22/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/22/2026	Dr. Moreno	167.51	7109	6743	174	23.56	2.45	0.96	11965		
6/23/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/23/2026	Dr. Moreno	151.55	6190	5766	137	24.48	2.21	1.11	13777		
6/24/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/24/2026	Dr. Moreno	139.83	5865	5446	166	23.84	2.83	0.84	10756		
6/25/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/25/2026	Dr. Moreno	153.71	6582	6340	175	23.35	2.66	0.88	10979		
6/26/2026	Dr. Andrei	0	0	0	0	0	0	0	0		
6/26/2026	Dr. Moreno	155.69	5978	5598	145	26.04	2.43	1.07	12974		
6/27/2026	Dr. Andrei	87.04	2037	1093	47	42.73	2.31	1.85	21760		
6/27/2026	Dr. Moreno	127.48	5927	5853	118	21.51	1.99	1.08	14164		
6/28/2026	Dr. Andrei	105.3	2371	1318	71	44.41	2.99	1.48	17550		
6/28/2026	Dr. Moreno	166.61	7340	7019	144	22.7	1.96	1.16	13884		
6/29/2026	Dr. Andrei	82.93	2112	1105	40	39.27	1.89	2.07	27643		
6/29/2026	Dr. Moreno	150.4	8651	8179	207	17.39	2.39	0.73	8847		
6/30/2026	Dr. Andrei	99.19	2148	1232	40	46.18	1.86	2.48	33063		
6/30/2026	Dr. Moreno	151	9446	8979	321	15.99	3.4	0.47	5808		
7/1/2026	Dr. Andrei	94.15	2349	1311	43	40.08	1.83	2.19	31383		
7/1/2026	Dr. Moreno	164.2	12486	11828	382	13.15	3.06	0.43	5297		
7/2/2026	Dr. Andrei	113.23	6565	5842	157	17.25	2.39	0.72	8710	0	
7/2/2026	Dr. Moreno	147.1	10972	9972	319	13.41	2.91	0.46	5658	0	
7/3/2026	Dr. Andrei	90.91	11155	9919	221	8.15	1.98	0.41	5051	0	
7/3/2026	Dr. Moreno	204.75	9995	8974	321	20.49	3.21	0.64	7875	1	83.18
7/4/2026	Dr. Andrei	79.73	4928	4239	122	16.18	2.48	0.65	7973	2	22.43
7/4/2026	Dr. Moreno	159.83	6220	5491	229	25.7	3.68	0.7	8879	3	11.36
7/5/2026	Dr. Andrei	62.11	1605	838	19	38.7	1.18	3.27	31055	0
7/5/2026	Dr. Moreno	175.6	5452	4508	222	32.21	4.07	0.79	9756	6	14.90
7/6/2026	Dr. Andrei	106.37	3037	1813	52	35.02	1.71	2.05	26593	0
7/6/2026	Dr. Moreno	212.27	5973	4886	229	35.54	3.83	0.93	11793	9	15.51
